storyID,story,sentenceID,sentence,kepedulian,menyakiti,keadilan,kecurangan,loyalitas,pengkhianatan,otoritas,pembangkangan,kesucian,kemerosotan,kebebasan,penindasan
1,Legenda Danau Toba,1,"Di sebuah desa di wilayah Sumatera, hidup seorang petani.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,4,"Sebenarnya usianya sudah cukup untuk menikah, tetapi ia tetap memilih hidup sendirian.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,5,"Di suatu pagi hari yang cerah, petani itu memancing ikan disungai.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,6,"“Mudah-mudahan hari ini aku mendapat ikan yang besar,” gumam petani tersebut dalam hati.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,7,"Beberapa saat setelah kailnya dilemparkan, kailnya terlihat bergoyang-goyang.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,8,Ia segera menarik kailnya.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,9,Petani itu bersorak kegirangan setelah mendapat seekor ikan cukup besar.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,10,Ia takjub melihat warna sisik ikan yang indah.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,11,Sisik ikan itu berwarna kuning emas kemerah-merahan.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,12,Kedua matanya bulat dan menonjol memancarkan kilatan yang menakjubkan.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,13,"“Tunggu, aku jangan dimakan!",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,15,Petani tersebut terkejut mendengar suara dari ikan itu.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,16,"Karena keterkejutannya, ikan yang ditangkapnya terjatuh ke tanah.Kemudian tidak berapa lama, ikan itu berubah wujud menjadi seorang gadis yang cantik jelita.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,17,"“Bermimpikah aku?,” gumam petani.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,18,"“Jangan takut pak, aku juga manusia seperti engkau.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,19,"Aku sangat berhutang budi padamu karena telah menyelamatkanku dari kutukan Dewata,” kata gadis itu.",0,0,0,0,0,0,0,0,1,1,0,0
1,Legenda Danau Toba,20,"“Namaku Puteri, aku tidak keberatan untuk menjadi istrimu,” kata gadis itu seolah mendesak.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,21,Petani itu pun mengangguk.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,22,Maka jadilah mereka sebagai suami istri.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,23,"Namun, ada satu janji yang telah disepakati, yaitu mereka tidak boleh menceritakan bahwa asal-usul Puteri dari seekor ikan.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,24,Jika janji itu dilanggar maka akan terjadi petaka dahsyat.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,25,"Setelah sampai di desanya, gemparlah penduduk desa melihat gadis cantik jelita bersama petani tersebut.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,27,Petani merasa sangat bahagia dan tenteram.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,28,"Sebagai suami yang baik, ia terus bekerja untuk mencari nafkah dengan mengolah sawah dan ladangnya dengan tekun dan ulet.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,30,"Banyak orang iri, dan mereka menyebarkan sangkaan buruk yang dapat menjatuhkan keberhasilan usaha petani.",0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,31,“Aku tahu Petani itu pasti memelihara makhluk halus!,1,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,32,” kata seseorang kepada temannya.,0,0,0,0,0,0,0,0,0,0,0,0
1,Legenda Danau Toba,33,Hal itu sampai ke telinga Petani dan Puteri.,0,0,0,0,0,0,0,0,0,0,0,0
