StoryID,CharactersID,AliasCharacters
1,Tokoh-1,['anake sane mentas ditu']
1,Tokoh-2,['jerone sareng sami']
1,Tokoh-3,"['pianakne muani', 'pianak']"
1,Tokoh-4,"['pan karsa', 'pan karta']"
1,Tokoh-5,['liu anake']
1,Tokoh-6,['jero']
2,Tokoh-1,"['i cicing gudig', 'cicing gudig', 'cicinge to', 'cicing']"
2,Tokoh-2,"['i kerkuak', 'kerkuak']"
2,Tokoh-3,"['i angsa', 'angsa']"
3,Tokoh-1,"['widiadarine sane ayu-ayu pitung diri', 'widiadarine pitung diri punika']"
3,Tokoh-2,"['cening widiadari ajak pepitu', 'cening']"
3,Tokoh-3,['para rsi kahyanga']
3,Tokoh-4,"['kurenan i arjuna', 'i arjuna']"
3,Tokoh-5,['sang hyang indra']
3,Tokoh-6,['dedari supraba']
3,Tokoh-7,['niwatakawaca']
3,Tokoh-8,['sang arjuna']
3,Tokoh-9,['tilottama']
3,Tokoh-10,['raksasa']
3,Tokoh-11,['danawa']
3,Tokoh-12,['detia']
3,Tokoh-13,['dewa']
3,Tokoh-14,['bapa']
4,Tokoh-1,"['ida anak agung ngurah sangsara', 'ida anak agung ngurah rangsasa', 'ngurah']"
4,Tokoh-2,['ida sanghyang sambu']
4,Tokoh-3,"['i ngurang rangsasa', 'i ngurah rangsasa', 'i ngurah sawe', 'i ngurah']"
4,Tokoh-4,"['ida i ngurah sawe', 'ida ngurah sawe']"
4,Tokoh-5,"['paduka betara', 'betara']"
4,Tokoh-6,['ida betara']
4,Tokoh-7,['ijo sambu']
5,Tokoh-1,['jro panunggun kepuh']
5,Tokoh-2,"['batan wit kepuhe', 'batan kepuhe', 'wit kepuhe']"
5,Tokoh-3,['wit kepuh ageng']
5,Tokoh-4,"['i tumtum', 'tumtum']"
6,Tokoh-1,['tukang jaring tokal muah be bano']
6,Tokoh-2,"['i nyoman jater', 'nyoman jater', 'nyoman']"
6,Tokoh-3,['jero pesaren']
6,Tokoh-4,"['krama pesare', 'pesare']"
6,Tokoh-5,"['memen wayan', 'meme wayan', 'meme']"
6,Tokoh-6,"['klian saren', 'klia']"
6,Tokoh-7,['meme nengah']
6,Tokoh-8,['i pesaren']
6,Tokoh-9,"['i blenjo', 'blenjo']"
6,Tokoh-10,['njo']
7,Tokoh-1,['belin icang maka dadua']
7,Tokoh-2,"['adin-adinne maka dadua', 'adin beli ajak dadua', 'adin', 'beli']"
7,Tokoh-3,"['gancing, gancung']"
7,Tokoh-4,"['beli gancang', 'i gancang', 'i gancung', 'i gancing']"
7,Tokoh-5,['i taru']
8,Tokoh-1,"['pandita ajaka duang diri', 'panditane ane sujati', 'panditane maka kalih', 'pandita ane siluman']"
8,Tokoh-2,"['kedis belibis putih', 'belibis putih', 'belibise', 'kedise']"
8,Tokoh-3,['i belibis putih']
8,Tokoh-4,"['ida sang prabu', 'sang prabu']"
8,Tokoh-5,['cicing gudig']
8,Tokoh-6,"['ratu pandita', 'ratu']"
8,Tokoh-7,['prabu boya']
8,Tokoh-8,['kedis goak']
8,Tokoh-9,['ane istri']
8,Tokoh-10,['narajana']
8,Tokoh-11,['bapa']
9,Tokoh-1,"['bangken anake luh totonan', 'bangken anak luh', 'anake luh', 'anak luh', 'bangke', 'luh']"
9,Tokoh-2,['anak luh jegeg pesan']
9,Tokoh-3,"['kurenane i belog', 'kurenan icange', 'i belog', 'kurenan', 'kurena', 'belog']"
9,Tokoh-4,['anake luh ento']
9,Tokoh-5,"['memene i belog', 'memen', 'meme']"
9,Tokoh-6,['men belog']
9,Tokoh-7,['i meme']
9,Tokoh-8,['me']
10,Tokoh-1,"['kedise petang ukud', 'kedise']"
10,Tokoh-2,"['ratu sang prabu', 'ida sang prabu', 'sang prabu']"
10,Tokoh-3,"['ida batara sri', 'ida batari sri']"
10,Tokoh-4,"['maharaja pretu', 'maharaja']"
10,Tokoh-5,"['i kedis sugem', 'i kedis kuteh', 'kedis kuteh', 'kedis sugem']"
10,Tokoh-6,['kedis dara']
10,Tokoh-7,"['panjaki da', 'panjake', 'panjak']"
10,Tokoh-8,"['ceninge', 'cening']"
10,Tokoh-9,['meme']
11,Tokoh-1,"['ida hyang bhagawan', 'ida bhagawan domia', 'ida sang utamaniu', 'ida sang arunika', 'bhagawan domia', 'sang utamaniu', 'ida sang weda', 'ida dang guru', 'sang arunika', 'ida bhagawan', 'sang weda', 'dang guru']"
11,Tokoh-2,"['bapa sang undakala', 'bapa']"
11,Tokoh-3,['dang gurujati']
11,Tokoh-4,['sang abimanyu']
11,Tokoh-5,['ratu bhagawan']
