story_id,person,aliases,predicted_type,sentence_id,text,mention_count,word_count,text_prev,text_next,bert_context,is_primary_in_sentence,conf_Antagonist,conf_Protagonist
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Antagonist,1,Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede .,0.0306748466257668,0.0412844036697247,,Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,[SEP] Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede . [SEP] Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,1.0,0.5141157754399645,0.4858842245600357
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Protagonist,9,Apeteng Pan Karsa tusing bisa pules ngenehang gegaene .,0.0306748466257668,0.0412844036697247,Petengne saget ujan bales pesan madulurang angin .,Takut semere bek kaurugin tanah .,Petengne saget ujan bales pesan madulurang angin . [SEP] Apeteng Pan Karsa tusing bisa pules ngenehang gegaene . [SEP] Takut semere bek kaurugin tanah .,1.0,0.24563403452150476,0.7543659654784957
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Protagonist,14,Pan Karsa masih mapangenan .,0.0306748466257668,0.0412844036697247,Pianakne sedih mapangenan .,Makelo ia bengong mangenang kalacuran dewekne .,Pianakne sedih mapangenan . [SEP] Pan Karsa masih mapangenan . [SEP] Makelo ia bengong mangenang kalacuran dewekne .,1.0,0.49571214232893185,0.5042878576710684
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Protagonist,19,Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba .,0.0306748466257668,0.0412844036697247,Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne .,Pianakne masih nuutang tingkah bapane .,Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne . [SEP] Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba . [SEP] Pianakne masih nuutang tingkah bapane .,1.0,0.3026220298515825,0.6973779701484176
1,Tokoh-1,"['Pan Karsa', 'Pan Karta']",Protagonist,29,Ditu Pan Karta malaib-laib tur ngomong Inggih jerone sareng sami tiang nunas pisan ring pitulung jerone sane paicaang ring tiang .,0.0306748466257668,0.0412844036697247,Baan liu anake magae buina tanah nu gebuh dadiannya tuara makelo semere ento suba kedas buka ibine .,,Baan liu anake magae buina tanah nu gebuh dadiannya tuara makelo semere ento suba kedas buka ibine . [SEP] Ditu Pan Karta malaib-laib tur ngomong Inggih jerone sareng sami tiang nunas pisan ring pitulung jerone sane paicaang ring tiang . [SEP],1.0,0.21192725444876165,0.7880727455512385
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,1,Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede .,0.0368098159509202,0.0275229357798165,,Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,[SEP] Pan Karsa ajaka pianakne muani nanggap upah ngae semer di sisin rurunge gede . [SEP] Uli semeng maka sanja ia ajaka dadua tusing mareren magae sajawaning di nuju madaarne .,0.0,0.5137659588713926,0.48623404112860746
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,11,Manine nu ruput ia ajaka pianakne nelokin semere sambilang ngaba tambah .,0.0368098159509202,0.0275229357798165,Takut semere bek kaurugin tanah .,Saja lantas semere bek aji tanah .,Takut semere bek kaurugin tanah . [SEP] Manine nu ruput ia ajaka pianakne nelokin semere sambilang ngaba tambah . [SEP] Saja lantas semere bek aji tanah .,1.0,0.5555360188131278,0.4444639811868724
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,13,Pianakne sedih mapangenan .,0.0368098159509202,0.0275229357798165,Saja lantas semere bek aji tanah .,Pan Karsa masih mapangenan .,Saja lantas semere bek aji tanah . [SEP] Pianakne sedih mapangenan . [SEP] Pan Karsa masih mapangenan .,1.0,0.5296485853394364,0.47035141466056396
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Protagonist,17,Lantas ia ngomong teken pianakne .,0.0368098159509202,0.0275229357798165,Nangingke ia ngalih daya apanga gegaene aluhan .,Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne .,Nangingke ia ngalih daya apanga gegaene aluhan . [SEP] Lantas ia ngomong teken pianakne . [SEP] Ih cening de cai keweh buin akejep dong ilang tanahe ane ngurugin semere ne .,1.0,0.44251508489432567,0.5574849151056743
1,Tokoh-2,"['pianakne muani', 'Pianakne', 'pianakne']",Antagonist,20,Pianakne masih nuutang tingkah bapane .,0.0368098159509202,0.0275229357798165,Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba .,Buine tambahe ane besikan bantangne tancebanga ka tanahe ane ngurugin semere muah ane lenan pejaga di sisin semere suud keto lantas kalahina mengkeb .,Ditu lantas Pan Karsa ngantungan baju muah capilne ditongose ngantungan buka ane suba-suba . [SEP] Pianakne masih nuutang tingkah bapane . [SEP] Buine tambahe ane besikan bantangne tancebanga ka tanahe ane ngurugin semere muah ane lenan pejaga di sisin semere suud keto lantas kalahina mengkeb .,1.0,0.6260095760343024,0.3739904239656977
