storyID,story,sentenceID,sentence,kepedulian,menyakiti,keadilan,kecurangan,loyalitas,pengkhianatan,otoritas,pembangkangan,kesucian,kemerosotan,kebebasan,penindasan,kepedulian_prob,menyakiti_prob,keadilan_prob,kecurangan_prob,loyalitas_prob,pengkhianatan_prob,otoritas_prob,pembangkangan_prob,kesucian_prob,kemerosotan_prob,kebebasan_prob,penindasan_prob,positive_label_count,max_confidence
2,Puteri Hijau,12,Ratusan prajurit diutus sultan Aceh untuk menghancurkan kerajaan Deli.,0,1,0,0,0,0,0,0,0,0,0,0,0.00025037024170160294,0.9944180250167847,0.00011800986976595595,3.721899338415824e-05,0.00011398644710425287,0.00019145778787788004,0.00040354731027036905,0.0001237860560650006,0.0001651951897656545,0.00010724806634243578,0.000311880256049335,0.0007080852519720793,1,0.9944180250167847
2,Puteri Hijau,24,"Saat tiba di daerah Jambu Air , putri hijau keluar dari peti kaca , lalu mengerjakan amanat yang diberikan abangnya kepadanya, yaitu menabur beras dan telur di sungai Deli lalu membakar menyan dan menyebut nama Mambang Jazid 3 kali.”Mambang Jazid , Mambang Jazid ; mambang , jazid, datanglah abangku ,selamatkanlah adikmu ini dari genggaman sultan Aceh”.",0,0,0,0,0,0,0,0,1,0,0,0,0.0002357104531256482,0.00013907729589845985,7.254313095472753e-05,4.715241811936721e-05,0.00011433522740844637,0.0003794176736846566,0.0026550726033747196,0.0001870573905762285,0.9407203197479248,0.00010261464194627479,0.0003172207507304847,0.0007053706794977188,1,0.9407203197479248
4,Sampuraga Si Anak Durhaka,4,"Untuk bisa menghidupi kehidupannya sehari-hari, mereka mencari kayu bakar untuk dijual dan juga menjadi buruh upah di ladang orang lain.",1,0,0,0,0,0,0,0,0,0,0,0,0.9065824151039124,5.7515902881277725e-05,5.7120716519420967e-05,3.925904820789583e-05,0.0006148864631541073,0.0001927121775224805,0.0008927184971980751,0.00012198857439216226,0.00020789875998161733,0.00016501193749718368,0.00031600065995007753,0.0007050681742839515,1,0.9065824151039124
5,Si Buyung Besar,42,Buyung Besar memerintahkan agar kapal ditujukkan ke sana.,0,0,0,0,0,0,1,0,0,0,0,0,0.00024723922251723707,4.859968976234086e-05,5.587895429925993e-05,3.7491219700314105e-05,0.00011635423288680613,0.00019911228446289897,0.9000160694122314,0.00012048971257172525,0.00018089641525875777,0.00010892734280787408,0.0003047370119020343,0.0007098239148035645,1,0.9000160694122314
5,Si Buyung Besar,196,"Bersabarlah Tuan menunggu di sini sebentar biar hamba sampaikan kepada raja.""",0,0,0,0,0,0,0,0,1,0,0,0,0.0002326049580005929,4.7873367293505e-05,5.585071994573809e-05,3.757300873985514e-05,0.00011799366620834917,0.00018014770466834307,0.0001862705103121698,0.00012177378812339157,0.8944858312606812,0.00010106207628268749,0.00030721130315214396,0.0007050272542983294,1,0.8944858312606812
5,Si Buyung Besar,253,Menurut hamba Datuk tidak sukar membaginya.,0,0,0,0,0,0,0,0,1,0,0,0,0.0002448294253554195,4.853161590290256e-05,7.787029608152807e-05,3.761463085538708e-05,0.0001117321226047352,0.00020291053806431592,0.00020920021052006632,0.00012123399210395291,0.8739746809005737,0.00010966062836814672,0.0003023648459929973,0.000710446503944695,1,0.8739746809005737
5,Si Buyung Besar,256,"Bagi hamba cukuplah peti yang kecil itu saja,"" kata Buyung Besar.",0,0,0,0,0,0,0,0,1,0,0,0,0.0002329374401597306,4.3268668378004804e-05,5.9885245718760416e-05,3.7582147342618555e-05,0.00011527560855029151,0.0001976124767679721,0.00019651926413644105,0.00012104281631764024,0.9898436069488525,0.0001261408324353397,0.00031234591733664274,0.0007178936502896249,1,0.9898436069488525
5,Si Buyung Besar,300,Mereka hidup bahagia demikian juga masyarakatnya bertambah makmur adanya.,0,0,1,0,0,0,0,0,0,0,0,0,0.0004945205291733146,5.164452886674553e-05,0.9964504241943359,3.736024154932238e-05,0.0001126921342802234,0.0001788537483662367,0.00020210804359521717,0.00012168452667538077,0.00021680146164726466,0.0002054080250672996,0.00030693315784446895,0.0007008119719102979,1,0.9964504241943359
6,Jibau Malang,73,Sambil duduk-duduk menghirup teh mereka bercakap-cakap.,0,0,0,0,0,0,0,0,0,1,0,0,0.00024201998894568533,5.183053144719452e-05,6.538889283547178e-05,3.9262606151169166e-05,0.00011686518701026216,0.00019650501781143248,0.000206325450562872,0.0001237490214407444,0.0001778839941835031,0.9615342020988464,0.0003056267451029271,0.0006925442721694708,1,0.9615342020988464
6,Jibau Malang,109,"Dia menyatakan hendak menjemout Siti Ensah dan bundanya, pesan dari si Jibau mereka harus turut karena ia sedang sakit keras.",0,0,0,0,0,0,1,0,0,0,0,0,0.0002438112278468907,0.00010197727533522993,5.004994454793632e-05,3.811866190517321e-05,0.00011003950930899009,0.00020118728571105748,0.8997964262962341,0.00012103728658985347,0.00042581011075526476,0.00010674933582777157,0.0003103761118836701,0.0007207078742794693,1,0.8997964262962341
