storyID,story,sentenceID,sentence,kepedulian,menyakiti,keadilan,kecurangan,loyalitas,pengkhianatan,otoritas,pembangkangan,kesucian,kemerosotan,kebebasan,penindasan,kepedulian_prob,menyakiti_prob,keadilan_prob,kecurangan_prob,loyalitas_prob,pengkhianatan_prob,otoritas_prob,pembangkangan_prob,kesucian_prob,kemerosotan_prob,kebebasan_prob,penindasan_prob,positive_label_count,max_confidence
1,Legenda Danau Toba,35,"Setahun kemudian, kebahagiaan Petani dan istri bertambah, karena istri Petani melahirkan seorang bayi laki-laki.",0,0,0,0,0,0,0,0,1,0,0,0,9.65692670433782e-05,7.707742770435289e-05,4.919125422020443e-05,7.324164471356198e-05,0.00020857222261838615,5.874477938050404e-05,9.132463310379535e-05,9.138831228483468e-05,0.8897429704666138,0.00029687557253055274,0.00013894196308683604,0.00010162101534660906,1,0.8897429704666138
2,Puteri Hijau,5,Namun ada kelebihan lain yang di miliki Putri Hijau yaitu wajahnya yang amat cantik jelita serta sifatnya yang ramah dan bersahaja terhadap rakyat sehingga banyak rakyat yang menyukainya sebagai pemimpin yang bijaksana.,0,0,1,0,0,0,0,0,0,0,0,0,0.00012909092765767127,8.757144678384066e-05,0.9972035884857178,8.51147051434964e-05,0.0036496904212981462,0.0001407026720698923,0.0001367933873552829,0.00011970880586886778,0.00015093325055204332,0.00033951664227060974,0.00013243465218693018,0.00011643936159089208,1,0.9972035884857178
4,Sampuraga Si Anak Durhaka,3,"Hidup mereka bisa dibilang miskin, namun mereka tetap saling menyayangi dan bahagia.",1,0,0,0,0,0,0,0,0,0,0,0,0.9894271492958069,8.598778367741033e-05,4.9736114306142554e-05,7.350626401603222e-05,0.00019292175420559943,4.8458728997502476e-05,8.115810487652197e-05,9.185670205624774e-05,0.00010599669622024521,0.00028460557223297656,0.00014119589468464255,0.00011138342233607545,1,0.9894271492958069
4,Sampuraga Si Anak Durhaka,17,Memang kamu anak yang berbakti”.,0,0,0,0,1,0,0,0,0,0,0,0,0.00043931472464464605,8.044683636398986e-05,5.234967829892412e-05,7.815946446498856e-05,0.8831213116645813,4.410957990330644e-05,8.822472591418773e-05,9.171543933916837e-05,0.00015321167302317917,0.00030864571454003453,0.00013695078087039292,0.00010891685087699443,1,0.8831213116645813
4,Sampuraga Si Anak Durhaka,25,"Maafkan ibu karena belum bisa membahagiakanmu selama ini, anakku”.“Terima kasih ibu"" Aku berjanji jika sudah berhasil nanti akan kembali menemui ibu, doakan anakmu bu!”",0,0,0,0,0,0,0,0,1,0,0,0,0.00012366008013486862,9.041780867846683e-05,5.3561569075100124e-05,7.937983173178509e-05,0.0002031617914326489,0.00012319187226239592,9.110161772696301e-05,0.00010395528079243377,0.9923571348190308,0.0003085015341639519,0.0001278483832720667,0.000102652920759283,1,0.9923571348190308
5,Si Buyung Besar,38,"sebelum berangkat, malamnya si Buyung Besar lebih dahulu pamit kepada ayah-bundanya untuk menyatakan maksud keberangkatannya serta meminta doa restu keselamatannya selama berlayar.",0,0,0,0,0,0,0,0,1,0,0,0,0.00010424781794426963,0.000134431931655854,5.2760689868591726e-05,7.858119352022186e-05,0.00026759173488244414,0.0002891134354285896,0.00025817719870246947,9.555649739922956e-05,0.9974396228790283,0.0003858947311528027,0.00013113304157741368,0.00010362589819123968,1,0.9974396228790283
5,Si Buyung Besar,54,Penduduk kampung itu tak lupa mengucapkan terima kasih kepada si Buyung Besar atas kebaikan hatinya itu seraya memohon agar dibawakan kembali buah kelapa yang lain kalau masih ada.,0,0,0,0,0,0,0,0,1,0,0,0,7.217199163278565e-05,7.687248580623418e-05,5.0040969654219225e-05,8.270762918982655e-05,0.0002144838508684188,0.00022398029977921396,8.485075522912666e-05,9.686236444395036e-05,0.9962479472160339,0.0002805547555908561,0.0001302997989114374,9.602244244888425e-05,1,0.9962479472160339
5,Si Buyung Besar,61,Dengan seizin Datuk Penghulu si Buyung Besar pergi menemui ayah-bundanya untuk melepaskan rindu hati yang sudah berbulan-bulan berpisah tetapi hanya satu hari saja.,0,0,0,0,0,0,0,0,0,0,1,0,7.969929720275104e-05,8.114456431940198e-05,4.8867710574995726e-05,7.566699059680104e-05,0.00030697035253979266,0.0008566149626858532,8.362248627236113e-05,0.00011413652828196064,0.0001522769161965698,0.0003084892232436687,0.8969125747680664,9.795217920327559e-05,1,0.8969125747680664
5,Si Buyung Besar,92,"Kita telah bekerja keras menolongnya, mematuhi segala perintahnya tapi tak diberi apa-apa.",0,0,0,0,0,0,1,0,0,0,0,0,0.00011425151751609519,7.955883484100923e-05,4.851134872296825e-05,7.577046199003235e-05,0.0002110824134433642,5.231898103374988e-05,0.9993950128555298,9.060363663593307e-05,0.00011513839126564562,0.0002910019247792661,0.00013159449736122042,0.0001416271406924352,1,0.9993950128555298
5,Si Buyung Besar,113,Siapa yang berani membantah akan dihukum.,0,0,0,0,0,0,1,0,0,0,0,0,0.00022157329658512026,0.00010975382610922679,5.081350536784157e-05,7.929009734652936e-05,0.00022273362264968455,4.490045103011653e-05,0.9964397549629211,9.161526395473629e-05,0.00011624721810221672,0.0002723399375099689,0.0001352122926618904,0.00017069006571546197,1,0.9964397549629211
5,Si Buyung Besar,118,"dengah perintah Buyung Besar, kapal mereka ditujukkan ke sana.",0,0,0,0,0,0,1,0,0,0,0,0,9.139815665548667e-05,9.235602192347869e-05,5.180518564884551e-05,7.796659338055179e-05,0.00020558435062412173,4.4316599087323993e-05,0.9993962049484253,8.994319796329364e-05,0.00012418651022017002,0.00032059004297479987,0.00014777631440665573,9.947158832801506e-05,1,0.9993962049484253
5,Si Buyung Besar,121,"Melihat besi-besi itu, pandai besi bermaksud mulai bekerja, tetapi kerena belum ada perintah mereka tak berani.",0,0,0,0,0,0,1,0,0,0,0,0,9.124472853727639e-05,8.927872841013595e-05,5.265533400233835e-05,7.657792593818158e-05,0.0002010449970839545,5.5037657148204744e-05,0.9993196725845337,9.068124927580357e-05,0.00011438757064752281,0.00028663809644058347,0.00012985007197130471,9.902687452267855e-05,1,0.9993196725845337
