storyID,sentenceID,word,BIO_tag
1,1,Once,O
1,1,there,O
1,1,was,O
1,1,a,O
1,1,blue,O
1,1,Dyspeptic,B-PER
1,1,who,O
1,1,attempted,O
1,1,to,O
1,1,Kill,O
1,1,Time,O
1,1,by,O
1,1,reading,O
1,1,Novels,O
1,1,until,O
1,1,he,O
1,1,discovered,O
1,1,that,O
1,1,all,O
1,1,Books,O
1,1,of,O
1,1,Fiction,O
1,1,were,O
1,1,a,O
1,1,Mockery,O
1,2,After,O
1,2,a,O
1,2,prolonged,O
1,2,Experience,O
1,2,he,O
1,2,came,O
1,2,to,O
1,2,know,O
1,2,that,O
1,2,every,O
1,2,Specimen,O
1,2,of,O
1,2,Light,O
1,2,Reading,O
1,2,belonged,O
1,2,to,O
1,2,one,O
1,2,of,O
1,2,the,O
1,2,following,O
1,2,Divisions,O
1,2,1,O
1,3,The,O
1,3,Book,O
1,3,that,O
1,3,Promises,O
1,3,well,O
1,3,until,O
1,3,you,O
1,3,reach,O
1,3,the,O
1,3,Plot,O
1,3,and,O
1,3,then,O
1,3,you,O
1,3,Remember,O
1,3,that,O
1,3,you,O
1,3,read,O
1,3,it,O
1,3,Summer,O
1,3,before,O
1,3,last,O
1,4,2,O
1,4,The,O
1,4,book,O
1,4,with,O
1,4,the,O
1,4,Author's,O
1,4,Picture,O
1,4,as,O
1,4,a,O
1,4,Frontispiece,O
1,5,The,O
1,5,Author,O
1,5,is,O
1,5,very,O
1,5,Cocky,O
1,6,He,O
1,6,has,O
1,6,his,O
1,6,Overcoat,O
1,6,thrown,O
1,6,back,O
1,6,so,O
1,6,as,O
1,6,to,O
1,6,reveal,O
1,6,the,O
1,6,Silk,O
1,6,Lining,O
1,7,That,O
1,7,Settles,O
1,7,it,O
1,8,3,O
1,8,The,O
1,8,Book,O
1,8,that,O
1,8,runs,O
1,8,into,O
1,8,a,O
1,8,Snarl,O
1,8,of,O
1,8,Dialect,O
1,8,on,O
1,8,the,O
1,8,third,O
1,8,Page,O
1,8,and,O
1,8,never,O
1,8,gets,O
1,8,out,O
1,9,4,O
1,9,The,O
1,9,delectable,O
1,9,Yarn,O
1,9,about,O
1,9,a,O
1,9,Door-Mat,O
1,9,Thief,B-PER
1,9,who,O
1,9,truly,O
1,9,loves,O
1,9,the,O
1,9,Opium,O
1,9,Fiend,O
1,10,Jolly,O
1,10,Story,O
1,10,of,O
1,10,the,O
1,10,Slums,O
1,11,5,O
1,11,The,O
1,11,Book,O
1,11,that,O
1,11,begins,O
1,11,with,O
1,11,a,O
1,11,twenty-page,O
1,11,Description,O
1,11,of,O
1,11,Sloppy,O
1,11,Weather,O
1,11,Long,O
1,11,swirls,O
1,11,of,O
1,11,riven,O
1,11,Rain,O
1,11,beat,O
1,11,somberly,O
1,11,upon,O
1,11,the,O
1,11,misty,O
1,11,Panes,O
1,11,etc,O
1,12,etc,O
1,13,You,O
1,13,turn,O
1,13,to,O
1,13,the,O
1,13,last,O
1,13,Chapter,O
1,13,to,O
1,13,see,O
1,13,if,O
1,13,it,O
1,13,Rains,O
1,13,all,O
1,13,the,O
1,13,way,O
1,13,through,O
1,13,the,O
1,13,Book,O
1,14,This,O
1,14,last,O
1,14,Chapter,O
1,14,is,O
1,14,a,O
1,14,Give-Away,O
1,15,It,O
1,15,condenses,O
1,15,the,O
1,15,whole,O
1,15,Plot,O
1,15,and,O
1,15,dishes,O
1,15,up,O
1,15,the,O
1,15,Conclusion,O
1,16,After,O
1,16,that,O
1,16,who,O
1,16,would,O
1,16,have,O
1,16,the,O
1,16,Nerve,O
1,16,to,O
1,16,wade,O
1,16,through,O
1,16,the,O
1,16,Two,O
1,16,Hundred,O
1,16,and,O
1,16,Forty,O
1,16,intermediate,O
1,16,Pages,O
1,17,6,O
1,17,The,O
1,17,Book,O
1,17,in,O
1,17,which,O
1,17,the,O
1,17,Pictures,O
1,17,tell,O
1,17,the,O
1,17,Story,O
1,18,After,O
1,18,you,O
1,18,have,O
1,18,seen,O
1,18,the,O
1,18,Pictures,O
1,18,there,O
1,18,is,O
1,18,no,O
1,18,need,O
1,18,to,O
1,18,wrestle,O
1,18,with,O
1,18,the,O
1,18,Text,O
1,19,7,O
1,19,The,O
1,19,Book,O
1,19,that,O
